point,latitude,longitude,altitude
1,-25.4531211012128,-49.2329214208956,0.0
2,-25.4531430198923,-49.2329318498644,0.0
3,-25.4531661844295,-49.2329422805295,0.0
4,-25.4531914570526,-49.2329538438182,0.0
5,-25.4532123814598,-49.2329634222214,0.0
6,-25.4532247811740,-49.2329690482262,0.0
7,-25.4532260352396,-49.2329704816841,0.0
8,-25.4532101093707,-49.2330079134265,0.0
9,-25.4531976920427,-49.2330435736739,0.0
10,-25.4531830197049,-49.2330793961111,0.0
11,-25.4531696274066,-49.2331150606372,0.0
12,-25.4531559858351,-49.2331510171612,0.0
13,-25.4531435939421,-49.2331872935134,0.0
14,-25.4531291394452,-49.2332224664013,0.0
15,-25.4531156568481,-49.2332581322155,0.0
16,-25.4531021413676,-49.2332940669803,0.0
17,-25.4530896714320,-49.2333306129207,0.0
18,-25.4530752286770,-49.2333660143091,0.0
19,-25.4530620699106,-49.2334015858721,0.0
20,-25.4530486697002,-49.2334373498817,0.0
21,-25.4530361282352,-49.2334739564986,0.0
22,-25.4530218257957,-49.2335090177237,0.0
23,-25.4530082587253,-49.2335451719480,0.0
24,-25.4529949385178,-49.2335808353229,0.0
25,-25.4529825428047,-49.2336168033903,0.0
26,-25.4529680443841,-49.2336520862049,0.0
27,-25.4529546526572,-49.2336878102629,0.0
28,-25.4529412717418,-49.2337236833099,0.0
29,-25.4529287566824,-49.2337602397639,0.0
30,-25.4529141982716,-49.2337957919003,0.0
31,-25.4529008051921,-49.2338314065678,0.0
32,-25.4528871671441,-49.2338676711385,0.0
33,-25.4528746781689,-49.2339041476330,0.0
34,-25.4528602916340,-49.2339389812885,0.0
35,-25.4528479351793,-49.2339782201592,0.0
