point,ROBOT POSITION,,TOPOGRAPHIC POINTS,
,direction,error (m),north (m),east (m)
P001,SOUTHEAST,"0,74","7183699,503","677673,749"
P002,SOUTHEAST,"0,66","7183697,089","677672,668"
P003,SOUTHEAST,"0,43","7183694,537","677671,585"
P004,SOUTHEAST,"0,70","7183691,753","677670,385"
P005,SOUTHEAST,"0,92","7183689,448","677669,391"
P006,SOUTHEAST,"0,96","7183688,082","677668,807"
P007,SOUTHWEST,"1,17","7183687,945","677668,661"
P008,SOUTHWEST,"1,27","7183689,759","677664,920"
P009,SOUTHWEST,"0,98","7183691,182","677661,352"
P010,SOUTHWEST,"1,25","7183692,855","677657,771"
P011,SOUTHWEST,"0,78","7183694,386","677654,204"
P012,SOUTHWEST,"1,58","7183695,945","677650,608"
P013,SOUTHWEST,"1,06","7183697,366","677646,978"
P014,SOUTHWEST,"1,72","7183699,014","677643,462"
P015,SOUTHWEST,"1,42","7183700,555","677639,895"
P016,SOUTHWEST,"1,49","7183702,100","677636,301"
P017,SOUTHWEST,"1,51","7183703,530","677632,644"
P018,SOUTHWEST,"1,39","7183705,177","677629,105"
P019,SOUTHWEST,"1,15","7183706,682","677625,547"
P020,SOUTHWEST,"1,11","7183708,214","677621,970"
P021,SOUTHWEST,"1,25","7183709,652","677618,307"
P022,SOUTHWEST,"1,13","7183711,283","677614,802"
P023,SOUTHWEST,"1,24","7183712,834","677611,186"
P024,SOUTHWEST,"1,24","7183714,357","677607,619"
P025,SOUTHWEST,"0,94","7183715,778","677604,020"
P026,SOUTHWEST,"1,02","7183717,431","677600,493"
P027,SOUTHWEST,"1,16","7183718,962","677596,920"
P028,SOUTHWEST,"1,07","7183720,492","677593,332"
P029,SOUTHWEST,"0,99","7183721,927","677589,674"
P030,SOUTHWEST,"0,99","7183723,587","677586,120"
P031,SOUTHWEST,"1,40","7183725,118","677582,558"
P032,SOUTHWEST,"1,72","7183726,677","677578,931"
P033,SOUTHWEST,"1,35","7183728,109","677575,281"
P034,SOUTHWEST,"1,19","7183729,749","677571,799"
P035,SOUTHWEST,"0,85","7183731,170","677567,871"
P036,NORTHWEST,"1,19","7183731,397","677567,903"
P037,NORTHWEST,"1,76","7183733,965","677568,978"
P038,NORTHWEST,"1,36","7183736,761","677570,178"
P039,NORTHWEST,"1,66","7183739,316","677571,249"
P040,NORTHWEST,"1,35","7183742,772","677572,735"
P041,EAST,"0,50","7183743,860","677575,507"
P042,EAST,"0,43","7183744,286","677578,831"
P043,EAST,"1,58","7183745,105","677581,658"
P044,EAST,"0,92","7183746,484","677584,434"
P045,EAST,"0,91","7183748,554","677587,504"
P046,NORTHEAST,"0,92","7183748,551","677596,720"
P047,NORTHEAST,"0,73","7183746,802","677600,336"
P048,NORTHEAST,"0,60","7183745,275","677603,917"
P049,NORTHEAST,"0,78","7183743,744","677607,478"
P050,NORTHEAST,"1,22","7183742,225","677611,083"
P051,NORTHEAST,"0,83","7183740,674","677614,669"
P052,NORTHEAST,"0,60","7183739,146","677618,277"
P053,NORTHEAST,"0,69","7183737,614","677621,832"
P054,NORTHEAST,"0,78","7183736,072","677625,415"
P055,NORTHEAST,"0,58","7183734,534","677629,000"
P056,NORTHEAST,"0,60","7183732,993","677632,615"
P057,NORTHEAST,"0,41","7183731,459","677636,184"
P058,NORTHEAST,"0,57","7183730,119","677639,852"
P059,SOUTHWEST,"0,64","7183700,959","677673,733"
P060,SOUTHWEST,"0,53","7183701,962","677671,249"
P061,SOUTHWEST,"0,91","7183703,068","677668,798"
P062,WEST,"0,96","7183704,137","677666,352"
P063,WEST,"1,01","7183705,543","677664,181"
P064,WEST,"1,15","7183707,532","677662,519"
P065,WEST,"1,11","7183710,093","677661,760"
P066,NORTHWEST,"1,27","7183712,849","677661,825"
P067,NORTHWEST,"1,22","7183715,540","677662,450"
P068,NORTHWEST,"1,93","7183717,835","677663,864"
P069,NORTHEAST,"0,57","7183720,826","677661,316"
P070,NORTHEAST,"0,79","7183722,228","677657,561"
P071,NORTHEAST,"0,59","7183723,776","677654,006"
P072,NORTHEAST,"0,53","7183725,340","677650,395"
P073,NORTHEAST,"0,36","7183726,880","677646,821"
P074,NORTHEAST,"0,60","7183728,602","677643,329"
